#Frame      Mode1    Mode2
     968  -12.702   -4.922
     969  -11.699   -4.491
     970  -11.053   -4.767
     971  -12.593   -5.040
     972  -12.101   -4.748
     973  -11.576   -4.479
     974  -11.440   -3.780
     975  -11.808   -4.178
     976  -11.507   -5.513
     977  -11.994   -6.335
     978  -12.914   -4.320
     979  -12.508   -3.070
     980  -12.265   -2.579
     981  -11.859   -3.132
     982  -12.710   -4.089
     983  -12.226   -5.033
     984  -12.195   -4.250
     985  -12.181   -4.612
     986  -11.509   -3.571
     987  -12.077   -1.894
     988  -12.116   -3.160
     989  -11.840   -2.625
     990  -12.242   -3.105
     991  -12.631   -3.077
     992  -12.008   -4.068
     993  -11.537   -3.941
     994  -12.422   -4.607
     995  -12.340   -4.596
     996  -12.244   -3.908
     997  -11.587   -4.033
     998  -11.414   -3.954
     999  -10.928   -4.062
    1000  -11.412   -3.360
    1001  -11.196   -3.561
    1002  -11.496   -3.300
    1003  -11.262   -3.632
    1004  -12.029   -3.321
    1005  -12.053   -2.613
    1006  -11.879   -3.055
    1007  -11.085   -4.529
    1008  -11.515   -4.877
    1009  -11.790   -4.983
    1010  -12.306   -5.595
    1011  -13.013   -4.908
    1012  -11.135   -4.302
    1013  -13.129   -4.173
    1014  -12.714   -4.264
    1015  -12.170   -4.646
    1016  -11.451   -5.853
    1017  -12.289   -5.739
    1018  -12.386   -4.390
    1019  -12.807   -4.960
    1020  -12.439   -4.917
    1021  -12.321   -3.338
    1022  -10.758   -3.586
    1023  -11.908   -4.210
    1024  -11.964   -4.208
    1025  -12.372   -4.476
    1026  -10.844   -4.404
    1027  -11.744   -3.609
    1028  -11.186   -3.294
    1029  -10.799   -3.623
    1030  -12.712   -4.267
    1031  -12.279   -3.865
    1032  -12.847   -4.071
    1033  -13.025   -3.954
    1034  -12.445   -3.673
    1035  -11.973   -4.757
    1036  -12.005   -4.663
    1037  -11.444   -4.636
    1038  -11.874   -4.463
    1039  -12.332   -4.305
    1040  -10.711   -5.148
    1041  -11.292   -4.300
    1042  -11.039   -4.454
    1043  -10.922   -3.929
    1044  -11.234   -4.018
    1045  -10.979   -3.799
    1046  -11.085   -4.235
    1047  -11.432   -5.140
    1048  -11.622   -4.040
    1049  -10.963   -4.296
    1050  -10.808   -4.617
    1051  -11.292   -4.524
    1052  -13.477   -4.358
    1053  -11.228   -4.626
    1054  -13.098   -3.809
    1055  -13.901   -3.965
    1056  -13.231   -3.877
    1057  -12.734   -3.786
    1058  -12.956   -4.346
    1059  -13.459   -3.563
    1060  -12.901   -3.874
    1061  -12.575   -4.131
    1062  -12.013   -3.483
